Input Size,Bubble Sort,Insertion Sort,Merge Sort,Quick Sort
5,0.001811981201171875,0.0010013580322265625,0.0024318695068359375,0.0024318695068359375
10,0.003147125244140625,0.002002716064453125,0.0044345855712890625,0.003528594970703125
25,0.01201629638671875,0.00553131103515625,0.0125885009765625,0.0095367431640625
50,0.05097389221191406,0.024175643920898438,0.028753280639648438,0.018453598022460938
100,0.19698143005371094,0.0858306884765625,0.05822181701660156,0.037288665771484375
250,1.1784076690673828,0.46482086181640625,0.1682758331298828,0.11625289916992188
500,5.168581008911133,2.197408676147461,0.3769397735595703,0.2624034881591797
1000,23.564434051513672,9.837627410888672,0.8487224578857422,0.6846427917480469
5000,660.4082107543945,257.9500675201416,5.2764892578125,3.850078582763672
10000,2693.5840129852295,1061.988115310669,11.421537399291992,9.051036834716797
